"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.8,0,-0.0534683224381625,-0.0551468317137809,-0.0517525600706714,-0.0271358295053004,-0.0290614796819788,-0.0250163484982332,0.00075819964664311,-0.00164390724381625,-0.00428472835689046,0.000991345406360424,0.906913216431095,0.796227253975265,0.626213877208481,1.13004157508834,0.00301135159010601,4.00287957199647,2264
0.8,0.1,-0.0497843385,-0.051477765,-0.0480092005,-0.0272062105,-0.0294344315,-0.0251056675,0.000925696,-7.79295000000001e-05,-0.002921618,0.0027462295,0.9038929185,0.799045608,0.6218054525,1.12899026,0.0043369805,4.006101111,2000
0.8,0.2,-0.0475891025056948,-0.0493458667425968,-0.0456577522779043,-0.0261751452164009,-0.0285805318906606,-0.023807513667426,0.00132531093394077,-0.000806023348519362,-0.00408939635535308,0.00204575911161731,0.904574808656036,0.800165693621868,0.622877883257403,1.12949307744875,0.00546439977220957,4.00574519817768,1756
0.8,0.3,-0.0459998734622144,-0.0485458901581722,-0.0435953435852373,-0.0262310852372583,-0.0290348760984183,-0.0234305606326889,0.00172087609841828,0.00182473550087873,-0.00180347188049209,0.00559461335676626,0.90724576625659,0.795047900702988,0.625531510544815,1.13077677855888,0.00685599560632689,3.99274296660808,1138
0.8,0.4,-0.043278186,-0.045858196,-0.040724898,-0.025516458,-0.028647385,-0.022501487,0.002467797,-0.000649969,-0.004650832,0.003464027,0.905675134,0.801230825,0.625132944,1.129894065,0.010511654,3.994715743,1000
0.8,0.5,-0.039857861,-0.0427624,-0.037012039,-0.026567845,-0.029639551,-0.023470956,0.003442429,-5.3221e-05,-0.003969008,0.003760449,0.902257564,0.80280678,0.621017218,1.127719781,0.014132222,3.991470993,1000
0.8,0.6,-0.028595008,-0.031581679,-0.02584835,-0.027719408,-0.030989749,-0.024638306,0.006399173,0.00384622,-0.000331026,0.00796745,0.901664925,0.812708412,0.622741009,1.127806609,0.026654903,3.964634967,1000
0.8,0.7,-0.018177236,-0.021465682,-0.0151221,-0.024530021,-0.027716653,-0.021485596,0.010685816,0.000371376,-0.004006166,0.004684881,0.901872713,0.827321896,0.62594805,1.129498577,0.044503056,3.946072586,1000
0.8,0.8,-0.00706703,-0.010799833,-0.00325379,-0.026062052,-0.029178783,-0.022832436,0.017385161,0.000381636,-0.003660153,0.004388519,0.899946888,0.83950399,0.62378882,1.130316384,0.07179305,3.893803024,1000
0.8,0.9,0.015150508,0.010978319,0.01919545,-0.023401547,-0.026673719,-0.019972474,0.029255764,0.000183359,-0.003868596,0.003957689,0.895597958,0.875095067,0.625108251,1.130385436,0.118693101,3.825653158,1000
0.8,1,0.034832808,0.030892188,0.039068468,-0.021113385,-0.024278516,-0.017982698,0.040908569,-0.000791133,-0.005023469,0.003714748,0.894319628,0.910645658,0.635846959,1.127689628,0.166109494,3.74380152,1000
0.8,1.1,0.057024037,0.052695903,0.061224413,-0.023098141,-0.026633613,-0.019551542,0.053348777,0.002372964,-0.001583508,0.006631871,0.88367613,0.96754342,0.627716104,1.128572777,0.215968261,3.658029111,1000
0.8,1.2,0.077889197,0.07422877,0.082206193,-0.022465204,-0.026125179,-0.018684487,0.068243317,-0.000665485,-0.004581918,0.003492344,0.882040444,1.010254459,0.635542236,1.128016133,0.270658913,3.581636171,1000
0.8,1.3,0.094805115,0.089976843,0.099285993,-0.01777727,-0.021804087,-0.014066094,0.079581846,0.001008994,-0.00311203,0.005491114,0.876264403,1.060691271,0.635598966,1.128542762,0.314400724,3.509040259,1000
0.8,1.4,0.113030444,0.108591924,0.117254796,-0.016996319,-0.020879851,-0.012864819,0.09116904,0.000778307,-0.003583272,0.005193555,0.876794763,1.101560552,0.645215386,1.128946299,0.356936071,3.420745548,1000
0.8,1.5,0.130726662,0.126617356,0.1349042,-0.013171926,-0.017198032,-0.009066079,0.102419331,0.004304114,0.000111886,0.008428773,0.869695887,1.16278,0.644700761,1.127960349,0.398261882,3.349858724,1000
0.8,1.6,0.148066594,0.144187915,0.151940186,-0.011284171,-0.015052298,-0.007328,0.112220795,0.003206985,-0.001394983,0.007848846,0.871266097,1.204965577,0.655142386,1.128447806,0.43665144,3.279434484,1000
0.8,1.7,0.163582066,0.159620821,0.167526081,-0.008518328,-0.012866917,-0.004037333,0.123332836,-0.001557356,-0.005767835,0.002663369,0.866462613,1.266451633,0.656678671,1.128836621,0.466274418,3.20971376,1000
