"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
1.2,0,-0.078548306,-0.082827304,-0.074141163,-0.097676137,-0.10196015,-0.093592504,0.011217899,-0.004853246,-0.011122648,0.001324726,0.861450566,0.801396123,0.598840783,1.071165474,0.030475394,2.952201343,1000
1.2,0.1,-0.075492556,-0.080053612,-0.070907366,-0.096893985,-0.100893254,-0.092878729,0.012321043,-0.003397249,-0.009399964,0.002948803,0.8621613,0.806372399,0.601736143,1.071374073,0.033278605,2.946875856,1000
1.2,0.2,-0.064007812,-0.06816609,-0.059838609,-0.101190206,-0.105275787,-0.096887714,0.014642308,-0.000198179,-0.006466052,0.00571653,0.860845963,0.813018945,0.60368039,1.068928651,0.03927146,2.92137549,1000
1.2,0.3,-0.066465168,-0.070920137,-0.06187505,-0.097218483,-0.101072956,-0.09317645,0.017403799,-0.002469052,-0.00867623,0.003560977,0.860549123,0.81946139,0.60207627,1.070848545,0.046241851,2.916528411,1000
1.2,0.4,-0.059093314,-0.063883143,-0.054983588,-0.094521447,-0.09852497,-0.090392308,0.020015206,0.003177682,-0.003427481,0.009462105,0.861249257,0.823229737,0.607575155,1.068234337,0.053933867,2.897703464,1000
1.2,0.5,-0.049646973,-0.05494028,-0.044944999,-0.092259937,-0.096231974,-0.088465616,0.025889079,-0.001832709,-0.008313844,0.003981163,0.856890799,0.839066567,0.600950172,1.069015737,0.068387268,2.879203719,1000
1.2,0.6,-0.047490067,-0.052287691,-0.04284647,-0.094661864,-0.098960812,-0.09064763,0.027973122,-0.004670884,-0.011680379,0.002059942,0.857956757,0.848518152,0.605954157,1.06923289,0.07426269,2.857262134,1000
1.2,0.7,-0.027249283,-0.032594954,-0.022144516,-0.092870188,-0.097038593,-0.088782673,0.040925028,-0.005154365,-0.011730286,0.000832690000000001,0.854992162,0.880138289,0.612103437,1.063880099,0.106857272,2.79137947,1000
1.2,0.8,-0.021886498,-0.027491354,-0.016445196,-0.093990237,-0.098069306,-0.089549233,0.044874444,-0.000804613,-0.006904672,0.005072904,0.854145055,0.902351588,0.61288578,1.065918322,0.114816853,2.775093652,1000
1.2,0.9,-0.017331399,-0.02320758,-0.010887647,-0.087087547,-0.090707344,-0.083106988,0.055744527,-0.00328751,-0.009947892,0.003081144,0.851125907,0.937356692,0.616613591,1.06263422,0.143116609,2.725999764,1000
1.2,1,0.002442263,-0.003697199,0.00874839,-0.090898096,-0.095602271,-0.086597474,0.065877559,0.002546358,-0.004351935,0.009039949,0.849930686,0.957536769,0.619039119,1.060973844,0.16299278,2.666614292,1000
1.2,1.1,0.020072038,0.013617422,0.026605597,-0.08824103,-0.092464214,-0.083660128,0.07808151,0.004540891,-0.001538158,0.010483276,0.846093015,1.007461563,0.623160805,1.057292891,0.193844969,2.613683497,1000
1.2,1.2,0.037840844,0.031465584,0.043984017,-0.0874012,-0.092162201,-0.082586177,0.089833809,-0.007151496,-0.01397666,-0.000704253,0.845002303,1.046463418,0.628082745,1.056462066,0.216480516,2.563132467,1000
1.2,1.3,0.062803275,0.0558292,0.069988829,-0.077444039,-0.082080492,-0.073080488,0.110842008,-0.008214662,-0.015057753,-0.000661606,0.845587601,1.127048801,0.639804465,1.054917625,0.257815702,2.457663295,1000
1.2,1.4,0.087178073,0.080416183,0.093844002,-0.070491628,-0.076163439,-0.065328958,0.129359309,0.004469437,-0.002164845,0.010942648,0.849115522,1.194463997,0.654111145,1.056778273,0.293594112,2.375521894,1000
1.2,1.5,0.099738254,0.092169801,0.107350908,-0.059866775,-0.065733936,-0.054369671,0.139971439,-0.004538642,-0.01063754,0.001779262,0.849373069,1.248845218,0.658529483,1.059744815,0.310856815,2.335342147,1000
1.2,1.6,0.12146423,0.114151392,0.128903729,-0.052392801,-0.058572172,-0.04663311,0.157126874,0.003608417,-0.002425276,0.010988475,0.860048488,1.333549853,0.681281038,1.067658797,0.336611287,2.262529426,1000
1.2,1.7,0.145304871,0.13815393,0.152346852,-0.031735842,-0.037986648,-0.025647818,0.17412163,0.013735013,0.006954262,0.020994025,0.866973247,1.410034842,0.697362201,1.074118991,0.363877243,2.193138016,1000
1.2,1.8,0.163018879,0.154388802,0.17047395,-0.0212308,-0.027686056,-0.014261874,0.188150368,0.002174733,-0.004599081,0.008939015,0.879897572,1.489906271,0.716819916,1.086423363,0.379009758,2.145758465,1000
1.2,1.9,0.172329015,0.163501438,0.180885352,0.00021386,-0.007015652,0.007154083,0.196042451,-0.010641635,-0.016750786,-0.0043839,0.892716868,1.553453656,0.73395311,1.098467988,0.381899458,2.129896075,1000
1.2,2,0.191655206,0.183430152,0.199607144,0.005753803,-0.001944039,0.013208571,0.209381419,0.002277035,-0.003899082,0.008828972,0.903712407,1.632987314,0.754176028,1.104676425,0.395623864,2.075868425,1000
1.3,0,-0.08257007,-0.087227755,-0.078149615,-0.094459183,-0.098275441,-0.090492377,0.008778245,0.002411855,-0.003305759,0.008228865,0.862203477,0.807850279,0.603069951,1.070977933,0.024055498,2.960817061,1000
1.3,0.1,-0.078622257,-0.083114831,-0.074036734,-0.095307995,-0.099117728,-0.09133232,0.010779443,0.010642259,0.004682764,0.017398409,0.864253321,0.808636097,0.60471379,1.073065498,0.028836265,2.945918914,1000
