"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput"
0.1,1.5,0.2318248,0.22798567,0.23559847,0.18612386,0.15635025,0.21320624,0.52714171,0.0058666,-0.00948058,0.0221614,0.87124743,2.03851281,0.74032995,1.13747367,1.38339893,1.29426347
0.1,2,0.23808717,0.23388358,0.24215218,0.26024527,0.22488336,0.29352267,0.51384625,0.0046611,-0.01253833,0.02065818,0.91232599,2.41560172,0.80325404,1.17512266,1.30103013,1.35681761
0.1,2.5,0.24934784,0.24489798,0.25379139,0.38678081,0.34851167,0.41980612,0.50788863,0.00325402,-0.01490097,0.02153702,1.00464154,2.72535343,0.90976175,1.26457886,1.1634232,1.47751246
0.1,3,0.2555839,0.25127629,0.26001164,0.45881399,0.4165201,0.50042869,0.50087902,-0.01181343,-0.03442457,0.00784047,1.07373348,3.14681804,0.99046687,1.33570333,1.06789627,1.58172209
0.1,3.5,0.26108632,0.25655398,0.26559226,0.58975243,0.54918514,0.62552015,0.49071025,-0.00074756,-0.01884976,0.01799992,1.21556,3.59995421,1.13856807,1.49384906,0.90575406,1.78407466
0.1,4,0.26733914,0.26236077,0.27237642,0.65123154,0.60729747,0.69313891,0.47692916,0.00641529,-0.01275751,0.024566,1.34924148,3.89581916,1.27937751,1.62131562,0.79605557,1.87317348
0.1,4.5,0.27920669,0.27376725,0.28436,0.75768696,0.71423805,0.79531014,0.45508916,-0.00604095,-0.02617775,0.01457487,1.57376911,4.38460242,1.5126611,1.84008765,0.64457561,2.09008934
0.1,5,0.286524244897959,0.278971326530612,0.293341387755102,0.778198989795918,0.727176765306122,0.821840387755102,0.428476244897959,0.000210336734693878,-0.0198652857142857,0.0229677959183673,1.69518567346939,4.96549202040816,1.64908840816327,1.92003616326531,0.563949887755102,2.13697246938775
0.1,5.5,0.299528757894737,0.291070968421053,0.307532936842105,0.834333610526316,0.777786884210526,0.882380557894737,0.3933938,-0.00757418947368421,-0.0271249789473684,0.0110033157894737,1.90816835789474,5.12544918947368,1.86823861052632,2.12079607368421,0.425842673684211,2.32725265263158
0.2,1.5,0.31358698,0.30823463,0.31842019,0.16282671,0.13609486,0.18826633,0.46292603,0.00317813,-0.01135703,0.01766319,0.85673287,2.033601,0.72566831,1.12093059,1.1748824,1.39596412
0.2,2,0.33611262,0.3296232,0.34208294,0.22886029,0.19254016,0.26172948,0.45886691,0.01393584,-0.00372147,0.03280564,0.90673036,2.36722969,0.80192783,1.15399281,1.09376236,1.43021665
0.2,2.5,0.3496502,0.34361874,0.35526778,0.32999338,0.29531438,0.36302435,0.4510438,-0.000406489999999999,-0.01832187,0.01835438,0.96607858,2.73222248,0.87458088,1.21545627,0.98977602,1.53125199
0.2,3,0.35165716,0.34588385,0.35751992,0.37547914,0.32551345,0.41872725,0.44387506,0.01447943,-0.00298806,0.03214457,1.0168022,2.99650801,0.93070975,1.27574689,0.95484815,1.59898928
0.2,3.5,0.36461685,0.35781506,0.3712156,0.4637929,0.4180972,0.50664032,0.4373725,0.01066065,-0.00967627,0.02955085,1.10567457,3.40334124,1.03555824,1.34407837,0.85325207,1.64269131
0.2,4,0.3789991,0.37283882,0.38510698,0.58009237,0.54204178,0.61344635,0.43334691,0.01666848,-0.00082817,0.0346216,1.21442799,3.73725398,1.15115116,1.45151863,0.75680795,1.76844507
0.2,4.5,0.39076737,0.38353913,0.3986478,0.64658908,0.6020924,0.6835344,0.42086265,-0.00487823,-0.02404554,0.01493717,1.33339318,4.09842913,1.27198148,1.58399726,0.66985385,1.89341606
0.2,5,0.40134955,0.39404812,0.40856078,0.738583,0.70335783,0.76932519,0.40914857,0.01630121,-0.00506984,0.03787333,1.50834526,4.30822412,1.45340236,1.74479995,0.56562555,2.01435165
